index,syst,chain,tm1,tm2,min,max,pdb
 301,3sjk_B_A-B_0,A,0.289,0.221,0.221,0.289,3sjk
 302,3gq1_C_A-C_0,A,0.253,0.319,0.253,0.319,3gq1
 303,1u9l_C_B-C_1,B,0.212,0.316,0.212,0.316,1u9l
 304,5oav_B_A-B_0,A,0.257,0.424,0.257,0.424,5oav
 305,6cd8_C_A-C_0,A,0.449,0.352,0.352,0.449,6cd8
 306,2zgh_B_A-B_0,A,0.343,0.222,0.222,0.343,2zgh
 307,1oby_Q_A-B-P-Q_0,A,0.259,0.366,0.259,0.366,1oby
 308,1oby_Q_A-B-P-Q_0,B,0.259,0.369,0.259,0.369,1oby
 309,3woo_C_A-B-C-D_0,A,0.382,0.096,0.096,0.382,3woo
 310,3drj_B_A-B_0,A,0.339,0.109,0.109,0.339,3drj
 311,5lyn_C_A-B-C-D_0,A,0.277,0.260,0.260,0.277,5lyn
 312,5lyn_C_A-B-C-D_0,B,0.279,0.262,0.262,0.279,5lyn
 313,5lb7_C_A-B-C_0,A,0.262,0.207,0.207,0.262,5lb7
 314,5lb7_C_A-B-C_0,B,0.267,0.377,0.267,0.377,5lb7
 315,3gv4_H_A-H_0,A,0.242,0.282,0.242,0.282,3gv4
 316,1sdz_B_A-B_0,A,0.234,0.267,0.234,0.267,1sdz
 317,3nin_E_B-E_1,B,0.286,0.371,0.286,0.371,3nin
 318,4xal_B_A-B_0,A,0.263,0.327,0.263,0.327,4xal
 319,2ce9_X_A-B-X_0,A,0.362,0.151,0.151,0.362,2ce9
 320,3sxu_C_A-B-C_0,A,0.293,0.263,0.263,0.293,3sxu
 321,5iz2_Z_A-B-Z_0,B,0.352,0.344,0.344,0.352,5iz2
 322,3nfk_D_A-B-C-D_2,B,0.269,0.324,0.269,0.324,3nfk
 323,2wa8_D_C-D_1,C,0.258,0.290,0.258,0.290,2wa8
 324,4jwd_C_B-C_1,B,0.371,0.246,0.246,0.371,4jwd
 325,2z9i_G_A-B-C-D-E-F-G-H-I_0,A,0.358,0.196,0.196,0.358,2z9i
 326,3v43_Q_A-Q_0,A,0.255,0.271,0.255,0.271,3v43
 327,4r5i_B_A-B_0,A,0.331,0.216,0.216,0.331,4r5i
 328,4ba3_B_A-B_0,A,0.278,0.100,0.100,0.278,4ba3
 329,2i3h_C_A-C_0,A,0.258,0.314,0.258,0.314,2i3h
 330,4f74_C_A-B-C_0,A,0.277,0.316,0.277,0.316,4f74
 331,4f74_C_A-B-C_0,B,0.274,0.313,0.274,0.313,4f74
 332,4wvh_C_A-C_0,A,0.350,0.117,0.117,0.350,4wvh
 333,4joh_D_A-D_0,A,0.267,0.331,0.267,0.331,4joh
 334,3fp4_Q_A-Q_0,A,0.305,0.108,0.108,0.305,3fp4
 335,1d0a_G_A-B-C-G-H-I_0,A,0.340,0.271,0.271,0.340,1d0a
 336,4b8o_C_A-B-C_0,A,0.285,0.109,0.109,0.285,4b8o
 337,3nil_X_D-X_2,D,0.281,0.370,0.281,0.370,3nil
 338,3uf7_B_A-B-C_0,A,0.358,0.240,0.240,0.358,3uf7
 339,2orz_B_A-B_0,A,0.310,0.160,0.160,0.310,2orz
 340,2y7l_B_A-B_0,A,0.315,0.146,0.146,0.315,2y7l
 341,3g19_C_A-C_0,A,0.255,0.324,0.255,0.324,3g19
 342,3thk_C_A-C_0,A,0.202,0.313,0.202,0.313,3thk
