index,syst,chain,tm1,tm2,min,max,pdb
 259,3gq1_C_A-C_0,A,0.147,0.413,0.147,0.413,3gq1
 260,1vwa_M_B-D-M-P_0,C,0.152,0.296,0.152,0.296,1vwa
 261,1vwa_M_B-D-M-P_0,B,0.149,0.287,0.149,0.287,1vwa
 262,1lvm_C_A-C-E_0,A,0.238,0.289,0.238,0.289,1lvm
 263,2v3s_C_B-C_1,B,0.168,0.392,0.168,0.392,2v3s
 264,3drh_B_A-B_0,A,0.345,0.220,0.220,0.345,3drh
 265,1kyf_P_A-P_0,A,0.255,0.293,0.255,0.293,1kyf
 266,2h9m_D_C-D_1,C,0.318,0.317,0.317,0.318,2h9m
 267,5fov_E_A-E_0,A,0.289,0.352,0.289,0.352,5fov
 268,4ezy_B_A-B_2,A,0.201,0.260,0.201,0.260,4ezy
 269,4g69_B_A-B_0,A,0.118,0.276,0.118,0.276,4g69
 270,5wun_C_A-B-C_0,A,0.396,0.306,0.306,0.396,5wun
 271,1b9j_B_A-B_0,A,0.331,0.217,0.217,0.331,1b9j
 272,4k72_C_A-C_0,A,0.122,0.288,0.122,0.288,4k72
 273,4fys_C_A-C_0,A,0.468,0.198,0.198,0.468,4fys
 274,3m5o_C_A-C_0,A,0.283,0.378,0.283,0.378,3m5o
 275,1nvs_B_A-B_0,A,0.266,0.292,0.266,0.292,1nvs
 276,2fop_B_A-B_0,A,0.162,0.271,0.162,0.271,2fop
 277,4ojf_A_A-H-L_0,L,0.201,0.250,0.201,0.250,4ojf
 278,4ojf_A_A-H-L_0,H,0.227,0.283,0.227,0.283,4ojf
 279,4c2g_B_A-B-C_0,A,0.319,0.247,0.247,0.319,4c2g
 280,1s2k_B_A-B_0,A,0.231,0.309,0.231,0.309,1s2k
 281,3ziq_B_A-B-C_0,A,0.395,0.306,0.306,0.395,3ziq
 282,5ovc_B_A-B_0,A,0.141,0.308,0.141,0.308,5ovc
 283,3dri_B_A-B_0,A,0.337,0.215,0.215,0.337,3dri
 284,3d9t_D_B-D_1,B,0.178,0.401,0.178,0.401,3d9t
