index,syst,chain,tm1,tm2,min,max,pdb
 306,1b5i_B_A-B_0,A,0.367,0.124,0.124,0.367,1b5i
 307,5huy_B_A-B-C_0,C,0.257,0.111,0.111,0.257,5huy
 308,4k3q_E_A-B-E_0,A,0.319,0.142,0.142,0.319,4k3q
 309,3f6k_N_A-N_0,A,0.380,0.102,0.102,0.380,3f6k
 310,5jjm_G_A-G-M_0,A,0.307,0.188,0.188,0.307,5jjm
 311,1d00_I_A-I_0,A,0.415,0.332,0.332,0.415,1d00
 312,1b3g_B_A-B_0,A,0.367,0.124,0.124,0.367,1b3g
 313,3t70_F_A-B-C-F_0,A,0.336,0.297,0.297,0.336,3t70
 314,3t70_F_A-B-C-F_0,B,0.333,0.311,0.311,0.333,3t70
 315,4ouc_B_A-B_0,A,0.347,0.164,0.164,0.347,4ouc
 316,4zhb_B_A-B_0,A,0.249,0.278,0.249,0.278,4zhb
 317,3rta_B_A-B_0,F,0.310,0.111,0.111,0.310,3rta
 318,3rta_B_A-B_0,A,0.310,0.111,0.111,0.310,3rta
 319,6cd9_B_A-B_0,A,0.652,0.505,0.505,0.652,6cd9
 320,3vqg_B_A-B_0,A,0.266,0.342,0.266,0.342,3vqg
 321,1gyb_E_A-B-E-F_0,A,0.436,0.438,0.436,0.438,1gyb
 322,1gyb_E_A-B-E-F_0,B,0.436,0.439,0.436,0.439,1gyb
 323,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.251,0.303,0.251,0.303,1xb0
 324,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.246,0.294,0.246,0.294,1xb0
 325,1d0a_G_A-B-C-G-H-I_0,A,0.414,0.332,0.332,0.414,1d0a
 326,1oby_Q_A-B-P-Q_0,A,0.237,0.323,0.237,0.323,1oby
 327,1oby_Q_A-B-P-Q_0,B,0.238,0.334,0.238,0.334,1oby
 328,5yba_B_A-B-C-D_0,A,0.350,0.279,0.279,0.350,5yba
 329,1a30_C_A-B-C_0,A,0.252,0.290,0.252,0.290,1a30
 330,1a30_C_A-B-C_0,B,0.250,0.287,0.250,0.287,1a30
 331,1u9l_C_B-C_1,B,0.209,0.275,0.209,0.275,1u9l
 332,5zw6_C_A-B-C-D_0,A,0.269,0.117,0.117,0.269,5zw6
 333,3m5o_C_A-C_0,A,0.302,0.219,0.219,0.302,3m5o
 334,1b51_B_A-B_0,A,0.365,0.123,0.123,0.365,1b51
 335,4k3r_E_A-B-E_0,A,0.317,0.141,0.141,0.317,4k3r
 336,3fp4_Q_A-Q_0,A,0.288,0.106,0.106,0.288,3fp4
 337,3mqr_B_A-B_0,A,0.370,0.345,0.345,0.370,3mqr
 338,2orz_B_A-B_0,A,0.380,0.186,0.186,0.380,2orz
 339,4c2g_B_A-B-C_0,A,0.329,0.124,0.124,0.329,4c2g
 340,1b46_B_A-B_0,A,0.368,0.124,0.124,0.368,1b46
 341,4jor_D_B-D_1,B,0.259,0.328,0.259,0.328,4jor
 342,2dze_X_A-B-X_0,A,0.385,0.327,0.327,0.385,2dze
 343,2dze_X_A-B-X_0,B,0.383,0.326,0.326,0.383,2dze
 344,4apo_D_B-D_1,B,0.246,0.214,0.214,0.246,4apo
