index,syst,chain,tm1,tm2,min,max,pdb
 238,5uw3_E_A-E_0,A,0.364,0.090,0.090,0.364,5uw3
 239,1b5i_B_A-B_0,A,0.369,0.123,0.123,0.369,1b5i
 240,3ny3_B_A-B_0,A,0.202,0.274,0.202,0.274,3ny3
 241,1se0_B_A-B_0,A,0.276,0.320,0.276,0.320,1se0
 242,4k3m_E_A-B-E_0,A,0.320,0.141,0.141,0.320,4k3m
 243,4j45_B_A-B_0,A,0.244,0.306,0.244,0.306,4j45
 244,3t64_F_A-B-C-F_0,A,0.342,0.293,0.293,0.342,3t64
 245,3t64_F_A-B-C-F_0,B,0.338,0.315,0.315,0.338,3t64
 246,3m5m_C_B-C_1,B,0.292,0.213,0.213,0.292,3m5m
 247,4jok_D_B-D_1,B,0.260,0.317,0.260,0.317,4jok
 248,3vqg_B_A-B_0,A,0.263,0.327,0.263,0.327,3vqg
 249,1jwg_D_B-D_1,B,0.267,0.245,0.245,0.267,1jwg
 250,6hpg_c_C-c_2,C,0.262,0.268,0.262,0.268,6hpg
 251,5fch_C_A-B-C_0,A,0.432,0.172,0.172,0.432,5fch
 252,5fch_C_A-B-C_0,B,0.431,0.173,0.173,0.431,5fch
 253,3tcg_I_A-I_0,A,0.370,0.125,0.125,0.370,3tcg
 254,4mvk_B_A-B_0,A,0.575,0.434,0.434,0.575,4mvk
 255,5m5v_G_A-E-G-I_0,A,0.405,0.183,0.183,0.405,5m5v
 256,1elr_B_A-B_0,A,0.253,0.245,0.245,0.253,1elr
 257,1a7c_B_A-B-C_0,A,0.348,0.153,0.153,0.348,1a7c
 258,4j09_B_A-B_0,A,0.322,0.191,0.191,0.322,4j09
 259,4j09_B_A-B_0,C,0.322,0.191,0.191,0.322,4j09
 260,1b58_B_A-B_0,A,0.384,0.120,0.120,0.384,1b58
 261,3thk_C_A-C_0,A,0.223,0.335,0.223,0.335,3thk
 262,4gyo_C_A-B-C-D_0,B,0.284,0.132,0.132,0.284,4gyo
 263,3mmg_C_A-C_0,A,0.309,0.207,0.207,0.309,3mmg
 264,1yti_I_A-I_0,A,0.291,0.331,0.291,0.331,1yti
 265,1yti_I_A-I_0,B,0.291,0.331,0.291,0.331,1yti
 266,4k3p_E_A-B-E_0,A,0.318,0.141,0.141,0.318,4k3p
 267,1ghb_P_E-F-G-P_0,F,0.340,0.323,0.323,0.340,1ghb
 268,1ghb_P_E-F-G-P_0,G,0.281,0.329,0.281,0.329,1ghb
 269,1ghb_P_E-F-G-P_0,C,0.281,0.329,0.281,0.329,1ghb
 270,1ghb_P_E-F-G-P_0,B,0.340,0.323,0.323,0.340,1ghb
 271,3lny_B_A-B_0,A,0.270,0.317,0.270,0.317,3lny
 272,5yba_B_A-B-C-D_0,A,0.347,0.272,0.272,0.347,5yba
 273,4k3o_E_A-B-E_0,A,0.324,0.142,0.142,0.324,4k3o
 274,4z8j_B_A-B_0,A,0.291,0.340,0.291,0.340,4z8j
 275,3emh_B_A-B_0,A,0.374,0.182,0.182,0.374,3emh
 276,4j81_C_B-C_1,B,0.356,0.183,0.183,0.356,4j81
 277,4ny3_C_A-C_0,A,0.357,0.189,0.189,0.357,4ny3
 278,4k3q_E_A-B-E_0,A,0.320,0.141,0.141,0.320,4k3q
 279,3hda_Z_P-Z_0,P,0.314,0.141,0.141,0.314,3hda
 280,2r9q_X_A-C-X_1,C,0.328,0.157,0.157,0.328,2r9q
 281,2v1r_R_A-Q-R_0,A,0.243,0.363,0.243,0.363,2v1r
 282,2f5b_P_H-L-P_0,L,0.392,0.263,0.263,0.392,2f5b
 283,2f5b_P_H-L-P_0,H,0.404,0.259,0.259,0.404,2f5b
 284,1a30_C_A-B-C_0,A,0.293,0.331,0.293,0.331,1a30
 285,1a30_C_A-B-C_0,B,0.291,0.329,0.291,0.329,1a30
 286,5jjm_G_A-G-M_0,A,0.295,0.178,0.178,0.295,5jjm
 287,5k4f_C_A-C_0,A,0.261,0.326,0.261,0.326,5k4f
 288,5elq_P_A-P_0,A,0.275,0.323,0.275,0.323,5elq
 289,3s9c_B_A-B_0,A,0.348,0.220,0.220,0.348,3s9c
 290,4pz3_C_A-B-C_0,B,0.299,0.252,0.252,0.299,4pz3
 291,1uoq_B_A-B_0,A,0.382,0.090,0.090,0.382,1uoq
 292,4mz6_A_A-C-E_0,E,0.286,0.112,0.112,0.286,4mz6
 293,1e4x_P_H-L-P_0,L,0.398,0.269,0.269,0.398,1e4x
 294,1e4x_P_H-L-P_0,H,0.310,0.213,0.213,0.310,1e4x
 295,2ce9_X_A-B-X_0,A,0.330,0.159,0.159,0.330,2ce9
 296,5lyn_C_A-B-C-D_0,A,0.274,0.258,0.258,0.274,5lyn
 297,5lyn_C_A-B-C-D_0,B,0.274,0.258,0.258,0.274,5lyn
 298,1rzx_B_A-B_0,A,0.254,0.288,0.254,0.288,1rzx
 299,4v3i_B_A-B_0,A,0.253,0.216,0.216,0.253,4v3i
 300,3zvy_D_B-D_0,B,0.221,0.324,0.221,0.324,3zvy
 301,4ezw_E_A-E_0,A,0.408,0.265,0.265,0.408,4ezw
 302,3f7o_X_A-X_0,A,0.356,0.196,0.196,0.356,3f7o
 303,1sua_C_A-C_0,A,0.354,0.213,0.213,0.354,1sua
 304,5iag_D_A-B-D_0,A,0.355,0.223,0.223,0.355,5iag
 305,2hl3_C_A-B-C_0,A,0.213,0.287,0.213,0.287,2hl3
 306,2hl3_C_A-B-C_0,B,0.208,0.288,0.208,0.288,2hl3
 307,1b9j_B_A-B_0,A,0.386,0.124,0.124,0.386,1b9j
 308,5xup_D_A-B-C-D_0,B,0.256,0.187,0.187,0.256,5xup
 309,1kl3_G_A-B-C-D-E-F-G-H_0,C,0.963,0.971,0.963,0.971,1kl3
 310,1kl3_G_A-B-C-D-E-F-G-H_0,B,0.968,0.976,0.968,0.976,1kl3
