index,syst,chain,tm1,tm2,min,max,pdb
 300,3hda_Z_P-Z_0,P,0.273,0.182,0.182,0.273,3hda
 301,1uop_B_A-B_0,A,0.343,0.142,0.142,0.343,1uop
 302,3fp4_Q_A-Q_0,A,0.272,0.146,0.146,0.272,3fp4
 303,1se0_B_A-B_0,A,0.185,0.328,0.185,0.328,1se0
 304,5grg_D_A-B-C-D_0,A,0.525,0.425,0.425,0.525,5grg
 305,3mmg_C_A-C_0,A,0.217,0.215,0.215,0.217,3mmg
 306,1sdz_B_A-B_0,A,0.184,0.328,0.184,0.328,1sdz
 307,1fch_C_A-B-C-D_2,F,0.266,0.211,0.211,0.266,1fch
 308,1fch_C_A-B-C-D_2,A,0.268,0.210,0.210,0.268,1fch
 309,4ny3_C_A-C_0,A,0.303,0.238,0.238,0.303,4ny3
 310,3qhw_L_A-B-J-L_0,B,0.273,0.239,0.239,0.273,3qhw
 311,5tu5_B_A-B_0,A,0.245,0.194,0.194,0.245,5tu5
 312,1gyb_E_A-B-E-F_0,A,0.179,0.282,0.179,0.282,1gyb
 313,1gyb_E_A-B-E-F_0,B,0.168,0.251,0.168,0.251,1gyb
 314,3sxu_C_A-B-C_0,A,0.207,0.269,0.207,0.269,3sxu
 315,3jrv_D_B-D_1,B,0.218,0.294,0.218,0.294,3jrv
 316,2wa8_D_C-D_1,C,0.204,0.342,0.204,0.342,2wa8
 317,3d9t_D_B-D_1,B,0.180,0.325,0.180,0.325,3d9t
 318,4joh_D_A-D_0,A,0.190,0.358,0.190,0.358,4joh
 319,3cww_E_A-B-D-E_0,A,0.431,0.134,0.134,0.431,3cww
 320,5eyz_E_A-E_0,A,0.174,0.318,0.174,0.318,5eyz
 321,5e6o_E_B-E_1,B,0.211,0.338,0.211,0.338,5e6o
 322,5m5v_G_A-E-G-I_0,A,0.319,0.221,0.221,0.319,5m5v
 323,1svz_C_A-B-C-D_0,A,0.488,0.451,0.451,0.488,1svz
 324,4r5i_B_A-B_0,A,0.238,0.232,0.232,0.238,4r5i
 325,2dze_X_A-B-X_0,A,0.338,0.419,0.338,0.419,2dze
 326,2dze_X_A-B-X_0,B,0.346,0.432,0.346,0.432,2dze
 327,4j79_B_A-B_0,A,0.231,0.185,0.185,0.231,4j79
 328,4o4y_A_A-H-L_0,L,0.827,0.811,0.811,0.827,4o4y
 329,4o4y_A_A-H-L_0,H,0.671,0.669,0.669,0.671,4o4y
 330,4cic_Q_A-B-Q_0,A,0.212,0.286,0.212,0.286,4cic
 331,4cic_Q_A-B-Q_0,B,0.210,0.285,0.210,0.285,4cic
 332,4xal_B_A-B_0,A,0.185,0.344,0.185,0.344,4xal
 333,4ezn_C_A-B-C-D_0,A,0.242,0.244,0.242,0.244,4ezn
 334,3lny_B_A-B_0,A,0.176,0.331,0.176,0.331,3lny
 335,3vqg_B_A-B_0,A,0.175,0.315,0.175,0.315,3vqg
 336,6ew9_P_A-B-C-P-Q-R_0,A,0.332,0.258,0.258,0.332,6ew9
 337,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.238,0.171,0.171,0.238,4tr9
 338,4k3o_E_A-B-E_0,A,0.283,0.195,0.195,0.283,4k3o
 339,2orz_B_A-B_0,A,0.349,0.267,0.267,0.349,2orz
